91.2844,102.063,40.554,1.31273,1.23236,1.40788,0.368678,-0.204124,44.5074,41.537,1.42215,1.45311
90.3512,101.986,41.4075,1.30678,1.20106,1.40376,0.354235,-0.216785,44.2348,41.4238,1.43547,1.46377
88.6833,101.951,41.1959,1.30542,1.16274,1.42266,0.33598,-0.232134,43.8966,40.9761,1.44849,1.48282
86.5675,101.971,41.0182,1.30243,1.13362,1.43508,0.303622,-0.253303,43.6247,40.5481,1.45645,1.49756
84.4064,101.983,40.8179,1.30056,1.09786,1.44864,0.286585,-0.27167,43.2324,40.1044,1.46877,1.51322
81.8485,101.761,40.6053,1.29442,1.02521,1.46357,0.268901,-0.284395,42.7565,39.6078,1.48439,1.53169
76.161,100.915,40.4477,1.20409,0.909859,1.47647,0.245563,-0.291315,42.0757,39.1039,1.51109,1.55763
74.0275,99.7931,40.3178,1.1891,0.794036,1.48695,0.229074,-0.298995,41.4966,38.8548,1.53496,1.5663
71.5281,98.6887,36.8029,1.18239,0.688411,1.54694,0.204936,-0.318662,41.2414,38.6315,1.54435,1.57004
69.6036,96.9368,33.7563,1.1622,0.559071,1.59871,0.23078,-0.326781,41.3737,38.6003,1.54102,1.57177
67.9298,93.9581,33.7953,1.1358,0.385557,1.59665,0.272869,-0.329972,41.7062,37.221,1.54446,1.59306
66.5139,90.427,33.9777,1.10857,0.220982,1.58647,0.289661,-0.330427,42.2242,37.5243,1.5447,1.58554
65.4644,87.019,34.1055,1.0871,0.0801465,1.57976,0.299239,-0.330061,42.7715,37.7721,1.52973,1.57983
64.6189,84.1449,34.2015,1.07277,0.0346525,1.57462,0.30819,-0.32544,43.2636,38.0025,1.51723,1.57404
64.1833,81.9683,34.2584,1.06578,0.1141,1.57146,0.314898,-0.317128,43.5793,38.185,1.5095,1.56907
